Dataset name,Directed,First split,Num nodes,Num edges,Real average degree,Average degree,Edge cut,Average clustering,Density,Transitivity,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Max clique,Execution time,Type split
CiteSeer,True,no-split,3327,9104,5.472798316801923,5.472798316801923,0,0.14147102442629086,0.0008227297529768376,0.13006166877182554,438,2120,7358,9.329714532486845,28,15,1,1,65,0.8462662211366775,0.8969828757814624,6,63.179912090301514,1 ordered iterations
CiteSeer,True,no-split,1663,2288,5.576668671076368,2.751653638003608,4698,0.07881700682005344,0.0008278139705185343,0.11211853162317559,766,292,930,6.360095090147342,19,10,1,1,23,0.7180043935715111,0.7935483870967742,4,1.5799915790557861,2 ordered iterations
CiteSeer,True,no-split,1663,2116,5.368610944076969,2.544798556825015,4696,0.05446076606629824,0.0007655832000075255,0.12814070351758794,748,372,960,10.852925832536302,26,15,1,1,25,0.8402842881944447,0.8875,4,2.20683217048645,2 ordered iterations
CiteSeer,True,no-split,1663,2278,5.449188214070956,2.73962717979555,4506,0.06149860704001768,0.0008241959024655686,0.11348837209302326,736,358,1034,8.744644226405645,27,14,1,1,25,0.7639072314984905,0.816247582205029,4,2.2457573413848877,2 random2 iterations
CiteSeer,True,no-split,1663,2318,5.492483463619964,2.7877330126277813,4498,0.07415049031365793,0.0008386681746774311,0.16666666666666666,724,194,626,5.555205384327761,13,7,1,1,16,0.7424185201441275,0.8402555910543131,5,0.7593278884887695,2 random2 iterations
CiteSeer,True,no-split,1109,996,5.608656447249775,1.7962128043282237,4228,0.04808869935584378,0.0008105653449134583,0.11320754716981132,672,90,254,5.0302122347066165,12,7,1,1,13,0.6774443548887099,0.7716535433070866,3,0.28388023376464844,3 ordered iterations
CiteSeer,True,no-split,1109,920,5.314697926059513,1.6591523895401263,4054,0.02690605490425148,0.0007487149772292988,0.08300395256916997,704,123,336,5.361721977875517,14,7,1,1,15,0.7044890873015872,0.7976190476190477,4,0.3405478000640869,3 ordered iterations
CiteSeer,True,no-split,1109,966,5.495040577096483,1.7421100090171326,4162,0.027762749223524695,0.0007861507260907638,0.12302839116719243,664,78,192,5.890775890775891,16,8,1,1,11,0.7274848090277779,0.84375,3,0.1860637664794922,3 ordered iterations
CiteSeer,True,no-split,1109,992,5.376014427412083,1.7889990982867447,3978,0.04176148968754921,0.0008073100624037657,0.14442916093535077,665,114,292,6.932308647725509,20,10,1,1,14,0.7643788703321448,0.8493150684931506,4,0.3610355854034424,3 random2 iterations
CiteSeer,True,no-split,1109,1118,5.861136158701533,2.0162308385933274,4264,0.03589454656741122,0.0009098514614590827,0.1209517514871117,652,152,470,5.015597769257581,13,7,1,1,18,0.6565776369397915,0.7361702127659574,4,0.494783878326416,3 random2 iterations
CiteSeer,True,no-split,1109,922,5.181244364292155,1.6627592425608657,3902,0.032351597906151566,0.0007503426184841452,0.234375,691,45,124,4.867676767676768,11,6,1,1,8,0.5512486992715921,0.6935483870967742,5,0.11668133735656738,3 random2 iterations
CiteSeer,True,no-split,831,536,5.571600481347774,1.2900120336943441,3558,0.030052971850593423,0.0007771156829484001,0.09873417721518987,581,37,84,4.642642642642643,11,6,1,1,8,0.6575963718820861,0.8095238095238095,3,0.08102631568908691,4 ordered iterations
CiteSeer,True,no-split,831,572,5.583634175691937,1.3766546329723226,3496,0.017827270113672036,0.0008293100198628449,0.08181818181818182,585,77,220,3.9169514695830485,11,6,1,1,10,0.6025206611570247,0.7545454545454545,4,0.23483657836914062,4 ordered iterations
CiteSeer,True,no-split,831,690,5.634175691937425,1.660649819494585,3302,0.03193226749183427,0.0010003914575268584,0.11632653061224489,520,88,202,7.23798328108673,22,11,1,1,13,0.7456621899813745,0.8316831683168316,3,0.19264554977416992,4 ordered iterations
CiteSeer,True,no-split,831,534,5.102286401925391,1.2851985559566788,3172,0.025872442839951864,0.0007742159975642642,0.20089285714285715,580,31,62,6.040860215053764,14,7,1,1,9,0.6170655567117586,0.7419354838709677,3,0.07065439224243164,4 ordered iterations
CiteSeer,True,no-split,831,606,5.6606498194945845,1.4584837545126355,3492,0.03443986017993238,0.0008786046713931538,0.10260586319218241,558,56,132,3.714935064935065,10,5,1,1,13,0.5511937557392103,0.6818181818181818,3,0.11513233184814453,4 random2 iterations
CiteSeer,True,no-split,831,520,5.265944645006017,1.2515042117930204,3336,0.017465005912659343,0.0007539181998753136,0.21910112359550563,597,36,110,4.119047619047619,9,5,1,1,7,0.511900826446281,0.6909090909090909,4,0.1427004337310791,4 random2 iterations
CiteSeer,True,no-split,831,586,5.593261131167268,1.4103489771359807,3476,0.03227704238534563,0.0008496078175517956,0.13714285714285715,562,51,126,4.090196078431372,9,5,1,1,9,0.6234567901234567,0.746031746031746,3,0.10283517837524414,4 random2 iterations
CiteSeer,True,no-split,831,520,5.381468110709988,1.2515042117930204,3432,0.026324183905411348,0.0007539181998753136,0.1517509727626459,584,29,62,4.596059113300493,11,6,1,1,8,0.6009365244536939,0.7419354838709677,3,0.06872153282165527,4 random2 iterations
CiteSeer,True,no-split,332,88,5.644578313253012,0.5301204819277109,1698,0.009036144578313253,0.0008007862264769046,0.375,289,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.01799488067626953,10 ordered iterations
CiteSeer,True,no-split,332,104,5.795180722891566,0.6265060240963856,1716,0.0,0.0009463837221999782,0,280,12,22,2.0757575757575757,3,2,1,1,8,0.04958677685950415,0.36363636363636365,2,0.021863222122192383,10 ordered iterations
CiteSeer,True,no-split,332,68,5.265060240963855,0.40963855421686746,1612,0.007028112449799196,0.0006187893568230626,0.23076923076923078,299,5,8,2.0,4,2,1,1,3,0.15625,0.5,2,0.01787257194519043,10 ordered iterations
CiteSeer,True,no-split,332,98,5.5120481927710845,0.5903614457831325,1634,0.010642570281124497,0.0008917846613038256,0.28125,286,7,18,1.5714285714285714,2,1,1,1,3,0.09259259259259259,0.4444444444444444,3,0.07944345474243164,10 ordered iterations
CiteSeer,True,no-split,332,72,5.674698795180723,0.43373493975903615,1740,0.0,0.000655188730753831,0,297,13,24,2.1025641025641026,4,2,1,1,8,0.0833333333333334,0.4166666666666667,2,0.023293018341064453,10 ordered iterations
CiteSeer,True,no-split,332,82,5.355421686746988,0.4939759036144578,1614,0.009036144578313253,0.0007461871655807521,0.21428571428571427,292,6,10,2.066666666666667,4,2,1,1,3,0.26,0.6,2,0.018059730529785156,10 ordered iterations
CiteSeer,True,no-split,332,66,4.981927710843373,0.39759036144578314,1522,0.0,0.0006005896698576784,0,299,6,10,2.066666666666667,4,2,1,1,3,0.26,0.6,2,0.017635345458984375,10 ordered iterations
CiteSeer,True,no-split,332,246,7.108433734939759,1.4819277108433735,1868,0.015504876649454965,0.002238561496742256,0.11538461538461539,217,25,62,3.6533333333333333,8,5,1,1,7,0.5088449531737772,0.6774193548387096,3,0.03660106658935547,10 ordered iterations
CiteSeer,True,no-split,332,194,5.506024096385542,1.1686746987951808,1440,0.014959839357429719,0.001765369635642267,0.2571428571428571,242,7,12,2.0952380952380953,4,2,1,1,3,0.29166666666666663,0.6666666666666666,2,0.0214080810546875,10 ordered iterations
CiteSeer,True,no-split,332,114,3.9036144578313254,0.6867469879518072,1068,0.009036144578313253,0.0010373821570268992,0.1111111111111111,276,7,12,1.7142857142857142,2,1,1,1,7,-0.2916666666666666,0.0,2,0.018148183822631836,10 ordered iterations
CiteSeer,True,no-split,332,76,5.77710843373494,0.4578313253012048,1766,0.009036144578313253,0.0006915881046845995,0.17647058823529413,295,7,12,2.1904761904761907,4,2,1,1,3,0.3194444444444444,0.6666666666666666,2,0.019930124282836914,10 random2 iterations
CiteSeer,True,no-split,332,84,5.385542168674699,0.5060240963855421,1620,0.018373493975903613,0.0007643868525461362,0.2903225806451613,293,7,14,1.8095238095238095,3,2,1,1,3,0.14285714285714288,0.5714285714285714,3,0.01920342445373535,10 random2 iterations
CiteSeer,True,no-split,332,82,5.168674698795181,0.4939759036144578,1552,0.0,0.0007461871655807521,0,291,12,22,2.712121212121212,5,3,1,1,4,0.37603305785123975,0.7272727272727273,2,0.021878480911254883,10 random2 iterations
CiteSeer,True,no-split,332,88,5.63855421686747,0.5301204819277109,1696,0.0,0.0008007862264769046,0,288,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.0792388916015625,10 random2 iterations
CiteSeer,True,no-split,332,84,5.228915662650603,0.5060240963855421,1568,0.009036144578313253,0.0007643868525461362,0.15789473684210525,291,8,14,2.5357142857142856,5,3,1,1,4,0.2959183673469387,0.5714285714285714,2,0.01917123794555664,10 random2 iterations
CiteSeer,True,no-split,332,70,5.313253012048193,0.42168674698795183,1624,0.0,0.0006369890437884468,0,297,5,8,2.0,4,2,1,1,3,0.15625,0.5,2,0.01788783073425293,10 random2 iterations
CiteSeer,True,no-split,332,120,6.259036144578313,0.7228915662650602,1838,0.004159495123350545,0.0010919812179230517,0.05660377358490566,273,9,18,1.8888888888888888,3,2,1,1,4,0.1296296296296296,0.5555555555555556,3,0.022883892059326172,10 random2 iterations
CiteSeer,True,no-split,332,106,5.475903614457831,0.6385542168674698,1606,0.014056224899598391,0.0009645834091653624,0.1935483870967742,282,6,10,2.066666666666667,4,2,1,1,3,0.26,0.6,2,0.019425392150878906,10 random2 iterations
CiteSeer,True,no-split,332,70,5.096385542168675,0.42168674698795183,1552,0.0,0.0006369890437884468,0,297,5,8,1.6,2,1,1,1,5,-0.3125,0.0,2,0.017673969268798828,10 random2 iterations
CiteSeer,True,no-split,332,76,5.391566265060241,0.4578313253012048,1638,0.0,0.0006915881046845995,0,294,5,8,2.0,4,2,1,1,3,0.15625,0.5,2,0.01833367347717285,10 random2 iterations
CiteSeer,True,no-split,166,40,6.048192771084337,0.4819277108433735,924,0.018072289156626505,0.0014603870025556773,0.42857142857142855,147,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.009522676467895508,20 ordered iterations
CiteSeer,True,no-split,166,26,5.253012048192771,0.3132530120481928,820,0.0,0.0009492515516611902,0,153,2,2,1.0,1,1,1,1,2,-0.5,0.0,2,0.009037971496582031,20 ordered iterations
CiteSeer,True,no-split,166,14,5.433734939759036,0.1686746987951807,874,0.0,0.000511135450894487,0,159,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008543729782104492,20 ordered iterations
CiteSeer,True,no-split,166,52,6.144578313253012,0.6265060240963856,916,0.0,0.0018985031033223803,0,140,7,12,1.7142857142857142,2,1,1,1,7,-0.2916666666666665,0.0,2,0.011234283447265625,20 ordered iterations
CiteSeer,True,no-split,166,10,4.879518072289157,0.12048192771084337,790,0.0,0.0003650967506389193,0,161,2,2,1.0,1,1,1,1,2,-0.5,0.0,2,0.00811004638671875,20 ordered iterations
CiteSeer,True,no-split,166,16,5.650602409638554,0.1927710843373494,906,0.0,0.0005841548010222709,0,158,2,2,1.0,1,1,1,1,2,-0.5,0.0,2,0.06983470916748047,20 ordered iterations
CiteSeer,True,no-split,166,20,5.855421686746988,0.24096385542168675,932,0.0,0.0007301935012778386,0,156,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008705377578735352,20 ordered iterations
CiteSeer,True,no-split,166,26,5.120481927710843,0.3132530120481928,798,0.014056224899598391,0.0009492515516611902,0.6,154,4,8,1.3333333333333333,2,1,1,1,3,-0.125,0.25,3,0.009338855743408203,20 ordered iterations
CiteSeer,True,no-split,166,22,5.819277108433735,0.26506024096385544,922,0.0,0.0008032128514056225,0,155,5,8,1.8,3,2,1,1,3,0.09375,0.5,2,0.010470151901245117,20 ordered iterations
CiteSeer,True,no-split,166,16,5.686746987951807,0.1927710843373494,912,0.0,0.0005841548010222709,0,158,4,6,1.5,2,1,1,1,4,-0.33333333333333337,0.0,2,0.009249687194824219,20 ordered iterations
CiteSeer,True,no-split,166,20,4.951807228915663,0.24096385542168675,782,0.018072289156626505,0.0007301935012778386,1.0,157,3,6,1.0,1,1,2,2,3,-0.3333333333333333,0.0,3,0.008662700653076172,20 ordered iterations
CiteSeer,True,no-split,166,16,5.602409638554217,0.1927710843373494,898,0.0,0.0005841548010222709,0,158,4,6,1.6666666666666667,3,2,1,1,2,0.16666666666666663,0.6666666666666666,2,0.008971214294433594,20 ordered iterations
CiteSeer,True,no-split,166,8,4.313253012048193,0.0963855421686747,700,0.0,0.00029207740051113545,0,162,2,2,1.0,1,1,1,1,2,-0.5,0.0,2,0.007954597473144531,20 ordered iterations
CiteSeer,True,no-split,166,24,5.650602409638554,0.2891566265060241,890,0.0,0.0008762322015334064,0,154,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008856773376464844,20 ordered iterations
CiteSeer,True,no-split,166,116,7.506024096385542,1.3975903614457832,1014,0.0,0.004235122307411464,0,108,6,10,1.8666666666666667,3,2,1,1,4,0.04000000000000002,0.4,2,0.012249231338500977,20 ordered iterations
CiteSeer,True,no-split,166,76,6.710843373493976,0.9156626506024096,962,0.024096385542168676,0.002774735304855787,0.23076923076923078,130,12,24,3.5606060606060606,8,4,1,1,4,0.4756944444444444,0.75,3,0.014423847198486328,20 ordered iterations
CiteSeer,True,no-split,166,82,5.590361445783133,0.9879518072289156,764,0.014056224899598391,0.0029937933552391383,0.16666666666666666,126,7,12,2.0952380952380953,4,2,1,1,3,0.29166666666666663,0.6666666666666666,2,0.011708974838256836,20 ordered iterations
CiteSeer,True,no-split,166,76,5.421686746987952,0.9156626506024096,748,0.014056224899598391,0.002774735304855787,0.1875,129,5,8,1.6,2,1,1,1,5,-0.3125,0.0,2,0.010358333587646484,20 ordered iterations
CiteSeer,True,no-split,166,52,4.0602409638554215,0.6265060240963856,570,0.018072289156626505,0.0018985031033223803,0.42857142857142855,141,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008905649185180664,20 ordered iterations
CiteSeer,True,no-split,166,44,3.746987951807229,0.5301204819277109,534,0.0,0.001606425702811245,0,144,6,10,1.6666666666666667,2,1,1,1,6,-0.30000000000000004,0.0,2,0.009517192840576172,20 ordered iterations
CiteSeer,True,no-split,166,26,5.626506024096385,0.3132530120481928,882,0.0,0.0009492515516611902,0,153,2,2,1.0,1,1,1,1,2,-0.5,0.0,2,0.00898289680480957,20 random2 iterations
CiteSeer,True,no-split,166,22,5.578313253012048,0.26506024096385544,882,0.0,0.0008032128514056225,0,155,4,6,1.5,2,1,1,1,4,-0.33333333333333337,0.0,2,0.010169267654418945,20 random2 iterations
CiteSeer,True,no-split,166,16,5.36144578313253,0.1927710843373494,858,0.0,0.0005841548010222709,0,158,2,2,1.0,1,1,1,1,2,-0.5,0.0,2,0.008423328399658203,20 random2 iterations
CiteSeer,True,no-split,166,14,5.216867469879518,0.1686746987951807,838,0.0,0.000511135450894487,0,159,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.00857400894165039,20 random2 iterations
CiteSeer,True,no-split,166,20,6.0843373493975905,0.24096385542168675,970,0.0,0.0007301935012778386,0,156,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.009243011474609375,20 random2 iterations
CiteSeer,True,no-split,166,38,5.9156626506024095,0.4578313253012048,906,0.0,0.0013873676524278934,0,147,4,6,1.5,2,1,1,1,4,-0.33333333333333337,0.0,2,0.06995749473571777,20 random2 iterations
CiteSeer,True,no-split,166,12,4.734939759036145,0.14457831325301204,762,0.0,0.0004381161007667032,0,160,2,2,1.0,1,1,1,1,2,-0.5,0.0,2,0.008157014846801758,20 random2 iterations
CiteSeer,True,no-split,166,22,5.373493975903615,0.26506024096385544,848,0.0,0.0008032128514056225,0,155,4,6,1.5,2,1,1,1,4,-0.33333333333333337,0.0,2,0.009113311767578125,20 random2 iterations
CiteSeer,True,no-split,166,22,4.325301204819277,0.26506024096385544,674,0.0,0.0008032128514056225,0,155,4,6,1.6666666666666667,3,2,1,1,2,0.16666666666666663,0.6666666666666666,2,0.008884191513061523,20 random2 iterations
CiteSeer,True,no-split,166,20,5.975903614457831,0.24096385542168675,952,0.0,0.0007301935012778386,0,156,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.009023189544677734,20 random2 iterations
CiteSeer,True,no-split,166,22,5.63855421686747,0.26506024096385544,892,0.0,0.0008032128514056225,0,155,4,6,1.5,2,1,1,1,4,-0.33333333333333337,0.0,2,0.009243965148925781,20 random2 iterations
CiteSeer,True,no-split,166,22,5.530120481927711,0.26506024096385544,874,0.0,0.0008032128514056225,0,155,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008874177932739258,20 random2 iterations
CiteSeer,True,no-split,166,22,6.771084337349397,0.26506024096385544,1080,0.0,0.0008032128514056225,0,155,5,8,1.6,2,1,1,1,5,-0.3125,0.0,2,0.010892629623413086,20 random2 iterations
CiteSeer,True,no-split,166,30,5.759036144578313,0.3614457831325301,896,0.009036144578313253,0.001095290251916758,0.3,152,6,12,1.7333333333333334,3,2,1,1,3,0.11111111111111109,0.5,3,0.010660648345947266,20 random2 iterations
CiteSeer,True,no-split,166,24,4.710843373493976,0.2891566265060241,734,0.0,0.0008762322015334064,0,154,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008700370788574219,20 random2 iterations
CiteSeer,True,no-split,166,20,5.650602409638554,0.24096385542168675,898,0.014056224899598391,0.0007301935012778386,0.6,157,4,8,1.3333333333333333,2,1,1,1,3,-0.125,0.25,3,0.009310483932495117,20 random2 iterations
CiteSeer,True,no-split,166,20,5.409638554216867,0.24096385542168675,858,0.0,0.0007301935012778386,0,156,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008843660354614258,20 random2 iterations
CiteSeer,True,no-split,166,18,5.337349397590361,0.21686746987951808,850,0.0,0.0006571741511500548,0,157,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.00889444351196289,20 random2 iterations
CiteSeer,True,no-split,166,16,5.096385542168675,0.1927710843373494,814,0.0,0.0005841548010222709,0,158,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008733034133911133,20 random2 iterations
CiteSeer,True,no-split,166,20,5.433734939759036,0.24096385542168675,862,0.0,0.0007301935012778386,0,156,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008890390396118164,20 random2 iterations
CiteSeer,True,no-split,3327,9104,5.472798316801923,5.472798316801923,0,0.14147102442629086,0.0008227297529768376,0.13006166877182554,438,2120,7358,9.329714532486845,28,15,1,1,65,0.8462662211366775,0.8969828757814624,6,67.82071161270142,1 ordered iterations
