Dataset name,Directed,First split,Num nodes,Num edges,Real average degree,Average degree,Edge cut,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Execution time,Type split
ogbn-products,False,no-split,1000,121,162.542,0.242,162300,0.016666666666666666,0.00024224224224224223,885,8,8,2.4642857142857144,5,3,1,1,3,0.3984375,0.75,0.3732612133026123,100 ordered iterations
ogbn-products,False,no-split,1000,132,166.854,0.264,166590,0.011333333333333334,0.0002642642642642643,872,7,6,2.4761904761904763,5,3,1,1,3,0.3194444444444444,0.6666666666666666,0.3576521873474121,100 ordered iterations
ogbn-products,False,no-split,1000,151,167.577,0.302,167275,0.011049999999999997,0.0003023023023023023,859,10,12,1.8444444444444446,3,2,1,1,2,0.21875,0.75,0.3919682502746582,100 ordered iterations
ogbn-products,False,no-split,1000,135,168.839,0.27,168569,0.0051,0.0002702702702702703,868,9,9,2.0555555555555554,3,2,1,1,3,0.30864197530864196,0.6666666666666666,0.3810384273529053,100 ordered iterations
ogbn-products,False,no-split,1000,128,163.088,0.256,162832,0.013500000000000002,0.00025625625625625624,878,7,6,1.9047619047619047,3,2,1,1,2,0.2083333333333333,0.8333333333333334,0.34510278701782227,100 ordered iterations
ogbn-products,False,no-split,1000,163,173.452,0.326,173126,0.015666666666666666,0.0003263263263263263,847,9,8,2.5555555555555554,5,3,1,1,3,0.3984375,0.75,0.41727542877197266,100 ordered iterations
ogbn-products,False,no-split,1000,138,170.275,0.276,169999,0.014535714285714285,0.00027627627627627627,870,13,15,2.371794871794872,5,3,1,1,3,0.42444444444444446,0.8,0.4230358600616455,100 ordered iterations
ogbn-products,False,no-split,1000,139,159.519,0.278,159241,0.012666666666666666,0.00027827827827827826,866,5,6,1.4,2,1,1,2,2,0.11111111111111113,0.6666666666666666,0.3399531841278076,100 ordered iterations
ogbn-products,False,no-split,1000,142,168.738,0.284,168454,0.011,0.0002842842842842843,863,7,6,2.380952380952381,5,3,1,1,3,0.3194444444444444,0.6666666666666666,0.3859388828277588,100 ordered iterations
ogbn-products,False,no-split,1000,48,93.891,0.096,93795,0.0,9.60960960960961e-05,952,4,3,1.6666666666666667,3,2,1,1,2,0.16666666666666663,0.6666666666666666,0.18484139442443848,100 ordered iterations
ogbn-products,False,no-split,1000,5,37.378,0.01,37368,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07057666778564453,100 ordered iterations
ogbn-products,False,no-split,1000,11,38.676,0.022,38654,0.0,2.2022022022022024e-05,989,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.07495927810668945,100 ordered iterations
ogbn-products,False,no-split,1000,8,46.719,0.016,46703,0.0,1.6016016016016015e-05,992,2,1,1.0,1,1,1,1,1,0.0,1.0,0.08603453636169434,100 ordered iterations
ogbn-products,False,no-split,1000,7,36.936,0.014,36922,0.0,1.4014014014014014e-05,993,2,1,1.0,1,1,1,1,1,0.0,1.0,0.06999516487121582,100 ordered iterations
ogbn-products,False,no-split,1000,5,37.953,0.01,37943,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07227873802185059,100 ordered iterations
ogbn-products,False,no-split,1000,6,35.551,0.012,35539,0.0,1.2012012012012012e-05,994,2,1,1.0,1,1,1,1,1,0.0,1.0,0.0681924819946289,100 ordered iterations
ogbn-products,False,no-split,1000,9,41.43,0.018,41412,0.0,1.801801801801802e-05,991,2,1,1.0,1,1,1,1,1,0.0,1.0,0.08381891250610352,100 ordered iterations
ogbn-products,False,no-split,1000,4,37.214,0.008,37206,0.0,8.008008008008007e-06,996,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07801413536071777,100 ordered iterations
ogbn-products,False,no-split,1000,7,39.47,0.014,39456,0.0,1.4014014014014014e-05,993,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07461357116699219,100 ordered iterations
ogbn-products,False,no-split,1000,7,39.87,0.014,39856,0.0,1.4014014014014014e-05,993,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07515382766723633,100 ordered iterations
ogbn-products,False,no-split,1000,4,40.248,0.008,40240,0.0,8.008008008008007e-06,996,2,1,1.0,1,1,1,1,1,0.0,1.0,0.0753929615020752,100 ordered iterations
ogbn-products,False,no-split,1000,8,40.603,0.016,40587,0.0,1.6016016016016015e-05,993,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.08022642135620117,100 ordered iterations
ogbn-products,False,no-split,1000,3,39.043,0.006,39037,0.0,6.006006006006006e-06,997,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07370376586914062,100 ordered iterations
ogbn-products,False,no-split,1000,8,39.169,0.016,39153,0.0,1.6016016016016015e-05,992,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.0800790786743164,100 ordered iterations
ogbn-products,False,no-split,1000,11,38.235,0.022,38213,0.0,2.2022022022022024e-05,989,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.08162641525268555,100 ordered iterations
ogbn-products,False,no-split,1000,3,38.18,0.006,38174,0.0,6.006006006006006e-06,997,2,1,1.0,1,1,1,1,1,0.0,1.0,13.514403104782104,100 ordered iterations
ogbn-products,False,no-split,1000,6,34.005,0.012,33993,0.0,1.2012012012012012e-05,994,2,1,1.0,1,1,1,1,1,0.0,1.0,0.06586146354675293,100 ordered iterations
ogbn-products,False,no-split,1000,6,37.771,0.012,37759,0.0,1.2012012012012012e-05,994,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07182598114013672,100 ordered iterations
ogbn-products,False,no-split,1000,10,41.939,0.02,41919,0.0,2.002002002002002e-05,990,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.08072900772094727,100 ordered iterations
ogbn-products,False,no-split,1000,13,38.744,0.026,38718,0.0,2.6026026026026025e-05,987,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07560253143310547,100 ordered iterations
ogbn-products,False,no-split,1000,3,39.402,0.006,39396,0.0,6.006006006006006e-06,997,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07523727416992188,100 ordered iterations
ogbn-products,False,no-split,1000,11,40.911,0.022,40889,0.0,2.2022022022022024e-05,989,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07695794105529785,100 ordered iterations
ogbn-products,False,no-split,1000,3,33.685,0.006,33679,0.0,6.006006006006006e-06,997,2,1,1.0,1,1,1,1,1,0.0,1.0,0.06555771827697754,100 ordered iterations
ogbn-products,False,no-split,1000,5,36.334,0.01,36324,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07042574882507324,100 ordered iterations
ogbn-products,False,no-split,1000,8,40.077,0.016,40061,0.0,1.6016016016016015e-05,992,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07644414901733398,100 ordered iterations
ogbn-products,False,no-split,1000,8,36.615,0.016,36599,0.0,1.6016016016016015e-05,992,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07124614715576172,100 ordered iterations
ogbn-products,False,no-split,1000,6,39.032,0.012,39020,0.0,1.2012012012012012e-05,994,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07392430305480957,100 ordered iterations
ogbn-products,False,no-split,1000,6,38.356,0.012,38344,0.0,1.2012012012012012e-05,994,2,1,1.0,1,1,1,1,1,0.0,1.0,0.0725867748260498,100 ordered iterations
ogbn-products,False,no-split,1000,10,42.426,0.02,42406,0.0,2.002002002002002e-05,990,2,1,1.0,1,1,1,1,1,0.0,1.0,0.08083939552307129,100 ordered iterations
ogbn-products,False,no-split,1000,7,40.018,0.014,40004,0.0,1.4014014014014014e-05,993,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.08006548881530762,100 ordered iterations
ogbn-products,False,no-split,1000,7,42.016,0.014,42002,0.0,1.4014014014014014e-05,994,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.09137868881225586,100 ordered iterations
ogbn-products,False,no-split,1000,5,39.143,0.01,39133,0.0,1.001001001001001e-05,996,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07567191123962402,100 ordered iterations
ogbn-products,False,no-split,1000,3,38.932,0.006,38926,0.0,6.006006006006006e-06,997,2,1,1.0,1,1,1,1,1,0.0,1.0,0.0758814811706543,100 ordered iterations
ogbn-products,False,no-split,1000,5,39.022,0.01,39012,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07381367683410645,100 ordered iterations
ogbn-products,False,no-split,1000,5,36.372,0.01,36362,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.0701289176940918,100 ordered iterations
ogbn-products,False,no-split,1000,6,39.475,0.012,39463,0.0,1.2012012012012012e-05,994,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07571029663085938,100 ordered iterations
ogbn-products,False,no-split,1000,5,40.396,0.01,40386,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07739877700805664,100 ordered iterations
ogbn-products,False,no-split,1000,5,38.239,0.01,38229,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07359671592712402,100 ordered iterations
ogbn-products,False,no-split,1000,4,37.724,0.008,37716,0.0,8.008008008008007e-06,996,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07489442825317383,100 ordered iterations
ogbn-products,False,no-split,1000,8,36.328,0.016,36312,0.0,1.6016016016016015e-05,992,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07244443893432617,100 ordered iterations
ogbn-products,False,no-split,1000,5,39.719,0.01,39709,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07586026191711426,100 ordered iterations
ogbn-products,False,no-split,1000,9,40.149,0.018,40131,0.0,1.801801801801802e-05,992,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.08936691284179688,100 ordered iterations
ogbn-products,False,no-split,1000,9,38.408,0.018,38390,0.0,1.801801801801802e-05,991,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07446575164794922,100 ordered iterations
ogbn-products,False,no-split,1000,4,37.534,0.008,37526,0.0,8.008008008008007e-06,996,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07253789901733398,100 ordered iterations
ogbn-products,False,no-split,1000,8,43.022,0.016,43006,0.0,1.6016016016016015e-05,992,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.08207201957702637,100 ordered iterations
ogbn-products,False,no-split,1000,4,37.284,0.008,37276,0.0,8.008008008008007e-06,996,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07268834114074707,100 ordered iterations
ogbn-products,False,no-split,1000,9,39.565,0.018,39547,0.0,1.801801801801802e-05,991,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.08025670051574707,100 ordered iterations
ogbn-products,False,no-split,1000,7,37.779,0.014,37765,0.0,1.4014014014014014e-05,993,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.0795888900756836,100 ordered iterations
ogbn-products,False,no-split,1000,8,43.892,0.016,43876,0.0,1.6016016016016015e-05,992,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.08761739730834961,100 ordered iterations
ogbn-products,False,no-split,1000,8,39.77,0.016,39754,0.0,1.6016016016016015e-05,992,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07726311683654785,100 ordered iterations
ogbn-products,False,no-split,1000,6,37.849,0.012,37837,0.0,1.2012012012012012e-05,994,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07387447357177734,100 ordered iterations
ogbn-products,False,no-split,1000,6,39.12,0.012,39108,0.0,1.2012012012012012e-05,994,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.0771019458770752,100 ordered iterations
ogbn-products,False,no-split,1000,7,41.458,0.014,41444,0.0,1.4014014014014014e-05,993,4,3,1.6666666666666667,3,2,1,1,2,0.16666666666666663,0.6666666666666666,0.08954906463623047,100 ordered iterations
ogbn-products,False,no-split,1000,3,39.723,0.006,39717,0.0,6.006006006006006e-06,997,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.07927393913269043,100 ordered iterations
ogbn-products,False,no-split,1000,5,34.16,0.01,34150,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.0687716007232666,100 ordered iterations
ogbn-products,False,no-split,1000,10,36.824,0.02,36804,0.0,2.002002002002002e-05,990,4,3,1.6666666666666667,3,2,1,1,2,0.16666666666666663,0.6666666666666666,0.07678341865539551,100 ordered iterations
ogbn-products,False,no-split,1000,7,41.274,0.014,41260,0.0,1.4014014014014014e-05,993,2,1,1.0,1,1,1,1,1,0.0,1.0,0.08272719383239746,100 ordered iterations
ogbn-products,False,no-split,1000,9,45.553,0.018,45535,0.0,1.801801801801802e-05,991,2,1,1.0,1,1,1,1,1,0.0,1.0,0.08855104446411133,100 ordered iterations
ogbn-products,False,no-split,1000,6,36.536,0.012,36524,0.0,1.2012012012012012e-05,994,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07258987426757812,100 ordered iterations
ogbn-products,False,no-split,1000,8,38.744,0.016,38728,0.0,1.6016016016016015e-05,992,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.07747197151184082,100 ordered iterations
ogbn-products,False,no-split,1000,7,35.598,0.014,35584,0.0,1.4014014014014014e-05,994,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07213997840881348,100 ordered iterations
ogbn-products,False,no-split,1000,8,40.178,0.016,40162,0.0,1.6016016016016015e-05,992,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07893753051757812,100 ordered iterations
ogbn-products,False,no-split,1000,9,40.995,0.018,40977,0.0,1.801801801801802e-05,991,2,1,1.0,1,1,1,1,1,0.0,1.0,0.08028697967529297,100 ordered iterations
ogbn-products,False,no-split,1000,5,38.273,0.01,38263,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07533478736877441,100 ordered iterations
ogbn-products,False,no-split,1000,7,39.459,0.014,39445,0.0,1.4014014014014014e-05,993,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07779312133789062,100 ordered iterations
ogbn-products,False,no-split,1000,5,40.004,0.01,39994,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07773399353027344,100 ordered iterations
ogbn-products,False,no-split,1000,8,38.948,0.016,38932,0.0,1.6016016016016015e-05,992,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07790637016296387,100 ordered iterations
ogbn-products,False,no-split,1000,5,37.794,0.01,37784,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07532453536987305,100 ordered iterations
ogbn-products,False,no-split,1000,4,35.966,0.008,35958,0.0,8.008008008008007e-06,996,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07135319709777832,100 ordered iterations
ogbn-products,False,no-split,1000,8,45.048,0.016,45032,0.0,1.6016016016016015e-05,992,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.09108400344848633,100 ordered iterations
ogbn-products,False,no-split,1000,5,39.861,0.01,39851,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.0779876708984375,100 ordered iterations
ogbn-products,False,no-split,1000,3,37.638,0.006,37632,0.0,6.006006006006006e-06,997,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07414865493774414,100 ordered iterations
ogbn-products,False,no-split,1000,10,37.419,0.02,37399,0.0,2.002002002002002e-05,990,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07369136810302734,100 ordered iterations
ogbn-products,False,no-split,1000,6,40.037,0.012,40025,0.0,1.2012012012012012e-05,994,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07854032516479492,100 ordered iterations
ogbn-products,False,no-split,1000,8,40.153,0.016,40137,0.0,1.6016016016016015e-05,992,2,1,1.0,1,1,1,1,1,0.0,1.0,0.0787956714630127,100 ordered iterations
ogbn-products,False,no-split,1000,13,41.179,0.026,41153,0.0,2.6026026026026025e-05,987,2,1,1.0,1,1,1,1,1,0.0,1.0,0.0807042121887207,100 ordered iterations
ogbn-products,False,no-split,1000,6,39.041,0.012,39029,0.0,1.2012012012012012e-05,994,2,1,1.0,1,1,1,1,1,0.0,1.0,0.0774533748626709,100 ordered iterations
ogbn-products,False,no-split,1000,9,41.773,0.018,41755,0.0,1.801801801801802e-05,991,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.08651304244995117,100 ordered iterations
ogbn-products,False,no-split,1000,10,38.789,0.02,38769,0.0,2.002002002002002e-05,990,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.08113813400268555,100 ordered iterations
ogbn-products,False,no-split,1000,9,38.469,0.018,38451,0.0,1.801801801801802e-05,991,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07751297950744629,100 ordered iterations
ogbn-products,False,no-split,1000,4,38.688,0.008,38680,0.0,8.008008008008007e-06,996,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07677102088928223,100 ordered iterations
ogbn-products,False,no-split,1000,7,37.009,0.014,36995,0.0,1.4014014014014014e-05,993,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07390928268432617,100 ordered iterations
ogbn-products,False,no-split,1000,9,36.986,0.018,36968,0.0,1.801801801801802e-05,991,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.07410430908203125,100 ordered iterations
ogbn-products,False,no-split,1000,8,38.651,0.016,38635,0.0,1.6016016016016015e-05,992,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07676815986633301,100 ordered iterations
ogbn-products,False,no-split,1000,7,40.367,0.014,40353,0.0,1.4014014014014014e-05,993,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.09123802185058594,100 ordered iterations
ogbn-products,False,no-split,1000,5,37.544,0.01,37534,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07450413703918457,100 ordered iterations
ogbn-products,False,no-split,1000,7,36.941,0.014,36927,0.0,1.4014014014014014e-05,993,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07331967353820801,100 ordered iterations
ogbn-products*,False,no-split,1000,0,38.72,0.0,38720,0.0,0,1000,1,0,0,0,0,0,0,0,0,0,0.07595586776733398,100 ordered iterations
ogbn-products,False,no-split,1000,12,40.365,0.024,40341,0.003,2.4024024024024024e-05,989,3,3,1.0,1,1,2,2,1,0.0,1.0,0.08286619186401367,100 ordered iterations
ogbn-products,False,no-split,1000,5,35.527,0.01,35517,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07145810127258301,100 ordered iterations
ogbn-products,False,no-split,1000,10,43.152,0.02,43132,0.0,2.002002002002002e-05,990,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.08709144592285156,100 ordered iterations
ogbn-products,False,no-split,1000,4,37.898,0.008,37890,0.0,8.008008008008007e-06,996,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07538032531738281,100 ordered iterations
ogbn-products,False,no-split,1000,7,40.853,0.014,40839,0.0,1.4014014014014014e-05,993,2,1,1.0,1,1,1,1,1,0.0,1.0,0.08095836639404297,100 ordered iterations
