Dataset name,Num graphs,Graph ID,Directed,Num nodes,Num edges,Average degree,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,Execution time
ogbg-molhiv,41127,30358,False,22,24,2.1818181818181817,0.0,0.1038961038961039,1,22,24,4.203463203463204,9,5,0.0030450820922851562
ogbg-molhiv,41127,29262,False,139,144,2.0719424460431655,0.0,0.015014075695964968,1,139,144,18.942133249921802,45,23,0.03942418098449707
ogbg-molhiv,41127,8258,False,23,25,2.1739130434782608,0.0,0.09881422924901186,1,23,25,4.691699604743083,12,6,0.0015406608581542969
ogbg-molhiv,41127,36576,False,28,31,2.2142857142857144,0.0,0.082010582010582,1,28,31,5.105820105820106,14,7,0.0020842552185058594
ogbg-molhiv,41127,38226,False,12,11,1.8333333333333333,0.0,0.16666666666666666,1,12,11,2.757575757575758,5,3,0.0005419254302978516
ogbg-molhiv,41127,29446,False,24,25,2.0833333333333335,0.0,0.09057971014492754,1,24,25,5.072463768115942,11,6,0.0015909671783447266
ogbg-molhiv,41127,34726,False,18,19,2.111111111111111,0.0,0.12418300653594772,1,18,19,3.915032679738562,10,5,0.0010266304016113281
ogbg-molhiv,41127,37760,False,27,29,2.1481481481481484,0.0,0.08262108262108261,1,27,29,5.310541310541311,13,7,0.001941680908203125
ogbg-molhiv,41127,14519,False,15,13,1.7333333333333334,0.0,0.12380952380952381,2,10,9,2.4,4,2,0.00046443939208984375
ogbg-molhiv,41127,17635,False,32,35,2.1875,0.0,0.07056451612903226,1,32,35,6.143145161290323,15,8,0.002610445022583008
ogbg-molhiv,41127,16097,False,18,20,2.2222222222222223,0.0,0.13071895424836602,1,18,20,3.4313725490196076,7,4,0.0009922981262207031
ogbg-molhiv,41127,26520,False,44,48,2.1818181818181817,0.0,0.0507399577167019,1,44,48,6.45877378435518,18,9,0.004469871520996094
ogbg-molhiv,41127,17427,False,19,20,2.1052631578947367,0.0,0.11695906432748537,1,19,20,4.608187134502924,12,6,0.001119852066040039
ogbg-molhiv,41127,12557,False,37,40,2.1621621621621623,0.0,0.06006006006006006,1,37,40,7.63063063063063,20,10,0.003395557403564453
ogbg-molhiv,41127,33552,False,29,30,2.0689655172413794,0.0,0.07389162561576355,1,29,30,4.911330049261084,11,6,0.0021600723266601562
ogbg-molhiv,41127,24968,False,16,17,2.125,0.0,0.14166666666666666,1,16,17,4.091666666666667,9,5,0.0008375644683837891
ogbg-molhiv,41127,10688,False,14,14,2.0,0.0,0.15384615384615385,2,13,14,3.1923076923076925,7,4,0.0006506443023681641
ogbg-molhiv,41127,35507,False,54,56,2.074074074074074,0.0,0.039133473095737246,2,47,50,10.20536540240518,28,14,0.0053708553314208984
ogbg-molhiv,41127,21252,False,12,13,2.1666666666666665,0.0,0.19696969696969696,1,12,13,2.6515151515151514,6,3,0.0005676746368408203
ogbg-molhiv,41127,27250,False,22,25,2.272727272727273,0.0,0.10822510822510822,1,22,25,3.982683982683983,10,5,0.0013782978057861328
ogbg-molhiv,41127,29331,False,77,83,2.155844155844156,0.0,0.02836637047163363,2,76,83,14.579298245614035,38,19,0.01251220703125
ogbg-molhiv,41127,39137,False,24,26,2.1666666666666665,0.0,0.09420289855072464,1,24,26,4.4855072463768115,12,6,0.0016193389892578125
ogbg-molhiv,41127,3377,False,26,28,2.1538461538461537,0.0,0.08615384615384615,1,26,28,4.36,10,5,0.0017695426940917969
ogbg-molhiv,41127,16068,False,12,13,2.1666666666666665,0.0,0.19696969696969696,1,12,13,2.6666666666666665,5,3,0.0005512237548828125
ogbg-molhiv,41127,20426,False,24,25,2.0833333333333335,0.0,0.09057971014492754,1,24,25,4.753623188405797,10,5,0.0015330314636230469
ogbg-molhiv,41127,36854,False,74,81,2.189189189189189,0.0,0.029988893002591634,2,73,81,11.382800608828006,26,13,0.011107206344604492
ogbg-molhiv,41127,5161,False,18,19,2.111111111111111,0.0,0.12418300653594772,1,18,19,3.6405228758169934,8,4,0.0009930133819580078
ogbg-molhiv,41127,34683,False,22,25,2.272727272727273,0.0,0.10822510822510822,1,22,25,4.017316017316017,10,5,0.001432657241821289
ogbg-molhiv,41127,24376,False,24,25,2.0833333333333335,0.0,0.09057971014492754,1,24,25,6.148550724637682,16,8,0.001645803451538086
ogbg-molhiv,41127,17956,False,14,14,2.0,0.0,0.15384615384615385,1,14,14,3.4285714285714284,7,4,0.0006809234619140625
ogbg-molhiv,41127,11845,False,23,26,2.260869565217391,0.0,0.10276679841897234,1,23,26,3.8260869565217392,9,5,0.0014729499816894531
ogbg-molhiv,41127,34701,False,25,28,2.24,0.0,0.09333333333333334,1,25,28,4.46,10,5,0.001669168472290039
ogbg-molhiv,41127,24597,False,21,23,2.1904761904761907,0.0,0.10952380952380952,1,21,23,4.085714285714285,9,5,0.0012688636779785156
ogbg-molhiv,41127,17092,False,21,22,2.0952380952380953,0.0,0.10476190476190476,1,21,22,4.666666666666667,12,6,0.0013141632080078125
ogbg-molhiv,41127,25618,False,20,21,2.1,0.0,0.11052631578947368,1,20,21,4.178947368421053,9,5,0.0011622905731201172
ogbg-molhiv,41127,29904,False,38,37,1.9473684210526316,0.0,0.05263157894736842,1,38,37,10.553342816500711,27,14,0.0035927295684814453
ogbg-molhiv,41127,35298,False,18,18,2.0,0.0,0.11764705882352941,1,18,18,4.209150326797386,9,5,0.0009949207305908203
ogbg-molhiv,41127,22691,False,14,13,1.8571428571428572,0.0,0.14285714285714285,1,14,13,5.0,13,7,0.0007276535034179688
ogbg-molhiv,41127,17646,False,22,24,2.1818181818181817,0.0,0.1038961038961039,1,22,24,4.402597402597403,11,6,0.0014111995697021484
ogbg-molhiv,41127,9930,False,13,12,1.8461538461538463,0.0,0.15384615384615385,2,12,12,3.257575757575758,8,4,0.0005848407745361328
ogbg-molhiv,41127,24260,False,16,17,2.125,0.0,0.14166666666666666,1,16,17,3.775,10,5,0.0008671283721923828
ogbg-molhiv,41127,7804,False,24,24,2.0,0.0,0.08695652173913043,1,24,24,5.384057971014493,13,7,0.0016026496887207031
ogbg-molhiv,41127,5002,False,20,21,2.1,0.0,0.11052631578947368,1,20,21,4.105263157894737,11,6,0.0012018680572509766
ogbg-molhiv,41127,8687,False,36,39,2.1666666666666665,0.0,0.06190476190476191,1,36,39,6.776190476190476,18,9,0.003191709518432617
ogbg-molhiv,41127,18270,False,50,54,2.16,0.0,0.044081632653061226,1,50,54,5.986938775510204,13,7,0.005413532257080078
ogbg-molhiv,41127,16505,False,32,37,2.3125,0.0,0.07459677419354839,1,32,37,5.199596774193548,12,6,0.0025784969329833984
ogbg-molhiv,41127,29292,False,24,25,2.0833333333333335,0.0,0.09057971014492754,1,24,25,4.63768115942029,10,5,0.001558542251586914
ogbg-molhiv,41127,14939,False,17,18,2.1176470588235294,0.0,0.1323529411764706,1,17,18,4.102941176470588,9,5,0.000911712646484375
ogbg-molhiv,41127,21378,False,18,19,2.111111111111111,0.0,0.12418300653594772,1,18,19,3.4313725490196076,8,4,0.000993967056274414
ogbg-molhiv,41127,28787,False,31,36,2.3225806451612905,0.0,0.07741935483870968,1,31,36,5.43010752688172,13,7,0.002475261688232422
